SSgt Sarah ''Gran'' Hahn,ShadowOps_Scrapper_LW2,12,18,126,19.0564
TSgt Midori ''Typhoon'' Kojima,ShadowOps_Survivalist_LW2,13,35,150,21.5524
TSgt Sam ''Cyber'' Dunn,ShadowOps_Hunter_LW2,12,32,153,21.1929
SSgt Maura ''Cobra'' O'Brien,ShadowOps_CombatEngineer_LW2,11,19,131,18.5167
TSgt Revy ''Two Hands'' Lee,ShadowOps_Infantry_LW2,12,23,168,21.6929
SSgt Fei ''Tiger'' Ho,ShadowOps_Dragoon_LW2,10,6,76,19.3262
Capt Martha ''Hearts'' Ulrich,ShadowOps_Juggernaut_LW2,11,21,115,20.2500
1Lt Yutaka ''Oni'' Shimizu,ShadowOps_CombatEngineer_LW2,13,22,122,20.2802
TSgt Joan ''Wire'' Ferguson,ShadowOps_Hunter_LW2,13,35,180,25.2683
SSgt John ''Human'' Smith,ShadowOps_Juggernaut_LW2,8,18,121,15.5611
GSgt Ian ''Hawaii'' Martin,ShadowOps_Survivalist_LW2,14,37,205,30.0349
SSgt Claude ''Lion'' Morel,ShadowOps_Infantry_LW2,9,14,125,17.1405
Maj Harry ''Sandman'' Jackson,ShadowOps_Recon_LW2,15,12,201,19.6095
Capt James ''Ironskin'' Long,ShadowOps_Infantry_LW2,11,11,107,17.4952
Maj Magdalena ''Knight'' Kwiatkowski,ShadowOps_Survivalist_LW2,12,36,193,24.8667
Capt Cynthia ''Acid'' Campbell,ShadowOps_Dragoon_LW2,11,9,142,16.1905
1Lt Bosede ''Reaper'' Ngele,ShadowOps_Juggernaut_LW2,10,25,133,16.9857
TSgt Ross ''Panther'' Palmer,ShadowOps_Hunter_LW2,14,38,175,23.2762
TSgt Wendy ''Halloween'' Tucker,ShadowOps_Scrapper_LW2,12,41,195,24.7405
SSgt Stig 'Murphy' Nilsen,ShadowOps_CombatEngineer_LW2,9,18,112,16.4571
TSgt Thor ''Cobra'' Nilsen,ShadowOps_Dragoon_LW2,16,13,208,30.7873
1Lt Masahiro ''Tetsu'' Yamashita,ShadowOps_Recon_LW2,8,3,73,11.1833
SSgt S9 Motoko ''Ghost'' Kusanagi,ShadowOps_Scrapper_LW2,9,15,109,17.1111
1Lt Brian 'Ox' Thomas,ShadowOps_Scrapper_LW2,4,3,42,6.5000
SSgt Esmerelda ''Barrel'' Garza,ShadowOps_Dragoon_LW2,8,16,144,17.2000
1Lt Hilde ''Circuit'' Hansen,ShadowOps_Hunter_LW2,6,16,100,12.9667
Sgt Paula ''Syndrome'' White,ShadowOps_Infantry_LW2,6,11,59,8.5595
Capt Mathis ''System'' Lambert,ShadowOps_Juggernaut_LW2,7,16,84,14.8690
Sgt Constance ''Saber'' Girard,ShadowOps_Recon_LW2,7,2,67,10.8548
SSgt Alexandra 'Bolt' Golubeva,ShadowOps_CombatEngineer_LW2,5,8,99,11.6571
Sq Soo ''Ice'' Yoon,ShadowOps_Recon_LW2,0,0,0,11.6571
Cpl Tom ''Deadlock'' Robinson,ShadowOps_Survivalist_LW2,2,5,28,4.8095
Cpl Sofia 'Terror' Golubeva,ShadowOps_Juggernaut_LW2,3,4,52,5.9111
Sgt Esha ''Bubblegum'' Banerjee,ShadowOps_Scrapper_LW2,2,6,22,5.6429
Sgt S9 ''Eyes'' Batou,ShadowOps_Survivalist_LW2,5,7,41,7.5714
2Lt Kathleen ''Mercy'' McIntyre,ShadowOps_CombatEngineer_LW2,4,4,32,5.3690
Cpl Marc ''Grit'' Morel,ShadowOps_Hunter_LW2,3,7,23,4.0833
LCpl Rin ''Ace'' Yamashita,ShadowOps_Juggernaut_LW2,2,0,18,1.7262
Sq Hye Jin ''Baroness'' Jeong,ShadowOps_Recon_LW2,0,0,0,1.7262
Cpl Brittany ''Shadow'' Hudson,ShadowOps_Infantry_LW2,4,2,29,6.3429
Cpl Declan ''Crash'' O'Doherty,ShadowOps_Dragoon_LW2,3,2,34,5.4111
Sgt Adolfo ''Coyote'' Jiménez,ShadowOps_Dragoon_LW2,4,7,74,8.8000
LCpl Félix ''Raptor'' Vega,ShadowOps_Infantry_LW2,2,4,18,1.7262
LCpl Seamus ''Manticore'' Quinn,ShadowOps_CombatEngineer_LW2,1,1,11,1.6667
Cpl Yon 'Little' Yang,ShadowOps_Scrapper_LW2,2,2,14,2.7857
Cpl Ping 'Demon' Xiao,ShadowOps_Recon_LW2,1,1,10,1.2500
Rk Lakshmi Saxena,Rookie,0,0,0,1.2500
